ticker,date,predicted_return,lower_bound_return,bound_width
RELIANCE.NS,2025-12-30,-0.1294,-0.1314,0.0031
RELIANCE.NS,2025-12-31,-0.1323,-0.1342,0.0031
RELIANCE.NS,2026-01-01,-0.1414,-0.1433,0.003
RELIANCE.NS,2026-01-04,-0.1337,-0.1356,0.003
RELIANCE.NS,2026-01-05,-0.0931,-0.0952,0.0032
RELIANCE.NS,2026-01-06,-0.0911,-0.0931,0.0032
RELIANCE.NS,2026-01-07,-0.0703,-0.0724,0.0033
RELIANCE.NS,2026-01-08,-0.0733,-0.0754,0.0033
RELIANCE.NS,2026-01-11,-0.0782,-0.0803,0.0032
RELIANCE.NS,2026-01-12,-0.0589,-0.061,0.0033
RELIANCE.NS,2026-01-13,-0.0628,-0.0649,0.0033
RELIANCE.NS,2026-01-14,-0.0628,-0.0649,0.0033
RELIANCE.NS,2026-01-15,-0.0622,-0.0643,0.0033
RELIANCE.NS,2026-01-18,-0.0328,-0.035,0.0034
RELIANCE.NS,2026-01-19,-0.0192,-0.0214,0.0035
RELIANCE.NS,2026-01-20,-0.0266,-0.0288,0.0034
RELIANCE.NS,2026-01-21,-0.0252,-0.0274,0.0034
RELIANCE.NS,2026-01-22,-0.0137,-0.0159,0.0035
RELIANCE.NS,2026-01-26,-0.0097,-0.0119,0.0035
RELIANCE.NS,2026-01-27,-0.0211,-0.0233,0.0034
RELIANCE.NS,2026-01-28,-0.0171,-0.0193,0.0035
RELIANCE.NS,2026-01-29,-0.0202,-0.0224,0.0034
RELIANCE.NS,2026-02-01,-0.0167,-0.0189,0.0035
RELIANCE.NS,2026-02-02,-0.0487,-0.0508,0.0033
RELIANCE.NS,2026-02-03,-0.0615,-0.0636,0.0033
RELIANCE.NS,2026-02-04,-0.0528,-0.0549,0.0033
RELIANCE.NS,2026-02-05,-0.0576,-0.0597,0.0033
RELIANCE.NS,2026-02-08,-0.0646,-0.0667,0.0033
RELIANCE.NS,2026-02-09,-0.0626,-0.0647,0.0033
RELIANCE.NS,2026-02-10,-0.0691,-0.0712,0.0033
RELIANCE.NS,2026-02-11,-0.0564,-0.0585,0.0033
RELIANCE.NS,2026-02-12,-0.0369,-0.0391,0.0034
RELIANCE.NS,2026-02-15,-0.0487,-0.0508,0.0033
RELIANCE.NS,2026-02-16,-0.0392,-0.0414,0.0034
RELIANCE.NS,2026-02-17,-0.0514,-0.0535,0.0033
RELIANCE.NS,2026-02-18,-0.03,-0.0322,0.0034
RELIANCE.NS,2026-02-19,-0.0368,-0.0389,0.0034
RELIANCE.NS,2026-02-22,-0.0426,-0.0447,0.0034
RELIANCE.NS,2026-02-23,-0.0431,-0.0453,0.0034
RELIANCE.NS,2026-02-24,-0.0224,-0.0246,0.0034
RELIANCE.NS,2026-02-25,-0.0282,-0.0303,0.0034
RELIANCE.NS,2026-02-26,-0.0192,-0.0214,0.0035
RELIANCE.NS,2026-03-01,0.0068,0.0045,0.0035
RELIANCE.NS,2026-03-03,0.0165,0.0142,0.0036
RELIANCE.NS,2026-03-04,-0.016,-0.0182,0.0035
RELIANCE.NS,2026-03-05,-0.0268,-0.029,0.0034
RELIANCE.NS,2026-03-08,-0.0399,-0.0421,0.0034
RELIANCE.NS,2026-03-09,-0.0296,-0.0317,0.0034
RELIANCE.NS,2026-03-10,-0.0166,-0.0188,0.0035
RELIANCE.NS,2026-03-11,-0.018,-0.0202,0.0035
RELIANCE.NS,2026-03-12,-0.0098,-0.012,0.0035
RELIANCE.NS,2026-03-15,-0.02,-0.0222,0.0034
RELIANCE.NS,2026-03-16,-0.0218,-0.024,0.0034
RELIANCE.NS,2026-03-17,-0.0291,-0.0312,0.0034
RELIANCE.NS,2026-03-18,-0.0127,-0.0149,0.0035
RELIANCE.NS,2026-03-19,-0.0334,-0.0355,0.0034
RELIANCE.NS,2026-03-22,-0.0289,-0.031,0.0034
RELIANCE.NS,2026-03-23,-0.0316,-0.0338,0.0034
RELIANCE.NS,2026-03-24,-0.0325,-0.0347,0.0034
RELIANCE.NS,2026-03-26,0.0141,0.0119,0.0036
RELIANCE.NS,2026-03-29,0.0173,0.015,0.0036
RELIANCE.NS,2026-03-31,-0.0015,-0.0037,0.0035
RELIANCE.NS,2026-04-01,0.0123,0.0101,0.0036
RELIANCE.NS,2026-04-05,0.0479,0.0455,0.0037
RELIANCE.NS,2026-04-06,0.048,0.0456,0.0037
RELIANCE.NS,2026-04-07,0.0144,0.0121,0.0036
RELIANCE.NS,2026-04-08,0.0279,0.0257,0.0036
RELIANCE.NS,2026-04-09,0.0126,0.0103,0.0036
RELIANCE.NS,2026-04-12,0.0396,0.0373,0.0037
RELIANCE.NS,2026-04-14,0.0172,0.0149,0.0036
RELIANCE.NS,2026-04-15,0.0178,0.0155,0.0036
RELIANCE.NS,2026-04-16,0.0016,-0.0006,0.0035
RELIANCE.NS,2026-04-19,0.0028,0.0006,0.0035
RELIANCE.NS,2026-04-20,0.0102,0.008,0.0036
RELIANCE.NS,2026-04-21,0.0037,0.0015,0.0035
RELIANCE.NS,2026-04-22,0.0177,0.0154,0.0036
RELIANCE.NS,2026-04-23,0.0297,0.0274,0.0036
RELIANCE.NS,2026-04-26,0.001,-0.0012,0.0035
RELIANCE.NS,2026-04-27,-0.0156,-0.0178,0.0035
RELIANCE.NS,2026-04-28,-0.0409,-0.043,0.0034
RELIANCE.NS,2026-04-29,-0.0445,-0.0466,0.0034
RELIANCE.NS,2026-04-30,-0.0445,-0.0466,0.0034
RELIANCE.NS,2026-05-03,-0.0656,-0.0677,0.0033
RELIANCE.NS,2026-05-04,-0.0659,-0.068,0.0033
RELIANCE.NS,2026-05-05,-0.0492,-0.0513,0.0033
RELIANCE.NS,2026-05-06,-0.0481,-0.0502,0.0033
RELIANCE.NS,2026-05-07,-0.0474,-0.0495,0.0034
RELIANCE.NS,2026-05-10,-0.0151,-0.0173,0.0035
RELIANCE.NS,2026-05-11,0.0023,0.0001,0.0035
RELIANCE.NS,2026-05-12,0.0062,0.0039,0.0035
RELIANCE.NS,2026-05-13,0.0039,0.0017,0.0035
RELIANCE.NS,2026-05-14,0.023,0.0207,0.0036
RELIANCE.NS,2026-05-17,0.0234,0.0211,0.0036
RELIANCE.NS,2026-05-18,0.0336,0.0313,0.0036
RELIANCE.NS,2026-05-19,0.0055,0.0033,0.0035
RELIANCE.NS,2026-05-20,0.013,0.0108,0.0036
RELIANCE.NS,2026-05-21,0.0094,0.0071,0.0036
RELIANCE.NS,2026-05-24,0.0001,-0.0021,0.0035
TCS.NS,2025-05-22,-0.3386,-0.3413,0.0047
TCS.NS,2025-05-25,-0.3428,-0.3455,0.0046
TCS.NS,2025-05-26,-0.3356,-0.3383,0.0047
TCS.NS,2025-05-27,-0.3354,-0.3381,0.0047
TCS.NS,2025-05-28,-0.3354,-0.3382,0.0047
TCS.NS,2025-05-29,-0.3288,-0.3315,0.0047
TCS.NS,2025-06-01,-0.3261,-0.3289,0.0048
TCS.NS,2025-06-02,-0.3173,-0.3201,0.0048
TCS.NS,2025-06-03,-0.3185,-0.3213,0.0048
TCS.NS,2025-06-04,-0.3165,-0.3193,0.0048
TCS.NS,2025-06-05,-0.3191,-0.3219,0.0048
TCS.NS,2025-06-08,-0.3266,-0.3294,0.0047
TCS.NS,2025-06-09,-0.3346,-0.3373,0.0047
TCS.NS,2025-06-10,-0.3363,-0.339,0.0047
TCS.NS,2025-06-11,-0.329,-0.3318,0.0047
TCS.NS,2025-06-12,-0.3313,-0.334,0.0047
TCS.NS,2025-06-15,-0.341,-0.3437,0.0046
TCS.NS,2025-06-16,-0.3445,-0.3472,0.0046
